Symbol,% GC
MT-ND1,47.7
MT-ND2,42.99
MT-CO1,46.24
MT-CO2,46.2
MT-ATP8,39.61
MT-ATP6,44.2
MT-CO3,46.56
MT-ND3,40.17
MT-ND4L,43.1
MT-ND4,44.27
MT-ND5,44.92
MT-ND6,42.67
MT-CYB,46.28
MAFIP,45.64
SYT15B,56.12
NPY4R2,52.24
FAM25C,50.18
FAM20C,59.41
PRAMEF11,48.02
ECSCR,51.16
HNRNPCL1,46.13
PRAMEF2,47.2
SMIM33,55.27
PRAMEF4,48.2
STING1,53.56
PRAMEF10,47.85
PRAMEF7,50.06
PRAMEF6,47.55
PRAMEF27,48.08
ARHGEF19,57.34
HNRNPCL3,47.02
PRAMEF25,47.51
CPLANE2,54.1
FBXO42,43.85
SZRD1,48.1
HNRNPCL2,46.09
SPATA21,50.4
PRAMEF26,48.32
HNRNPCL4,48.64
NECAP2,49.37
PRAMEF9,48.13
PRAMEF13,46.73
PRAMEF18,49.74
PRAMEF5,47.59
PRAMEF8,49.88
PRAMEF33,47.9
PRAMEF22,51.96
PADI2,51.75
OR8J2,45.36
OR5T2,39.26
OR5T3,38.81
OR5T1,38.84
NBPF1,44.04
OR8H1,40.37
OR8K3,39.08
OR8K1,39.9
OR8J1,40.41
OR8U8,42.81
OR8U9,44.19
ACTG1,60.66
BAHCC1,63.07
BCL2L14,40.68
LRP6,38.54
OR9G1,48.15
OR9G9,47.93
OR9G4,45.18
OR5G3,41.56
MANSC1,43.98
BORCS5,42.17
DUSP16,40.41
TOLLIP,57.49
BRSK2,63.85
DUSP8,64.56
KRTAP5-1,64.76
KRTAP5-2,59.3
KRTAP5-3,63.29
KRTAP5-4,58.59
KRTAP5-5,62.11
MOB2,55.21
PPP2R3B,58.28
IL3RA,54.54
P2RY8,48.23
SLC25A6,57.28
DHRSX,47.11
ASMTL,52.23
PLCXD1,53.82
ZBED1,49.62
CD99,47.38
SHOX,51.23
CRLF2,46.83
AKAP17A,60.91
ASMT,52.08
CSF2RA,50.9
C1R,51.45
GRK1,60.38
C1RL,49.05
GTPBP6,57.12
VAMP7,38.75
WASH6P,59.75
IL9R,55.06
RBP5,51.28
PRY,41.46
CLSTN3,51.75
USP9Y,38.76
PRY2,41.48
EIF1AY,35.59
PEX5,42.58
TSPY8,53.23
BPY2,42.58
TSPY4,53.35
TSPY9,53.43
RBMY1D,37
HSFY2,39.22
KDM5D,38.66
OR4C12,41.86
HSFY1,39.22
TGIF2LY,51.18
RBMY1F,36.92
CDY2A,44.23
BPY2C,42.58
DAZ4,35.66
CDY2B,44.31
SRY,46.62
RPS4Y1,40.56
